Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-08-16 09:18:57,0,Gremersdorf Running,"8,76",763,00:59:47,149,168,"3,7",152,161,6:49,5:48,78,77,"0,96","9,1","8,8",319,6:46,342,"0,0",335,488,9.006,'-15,0,"00:01:36,3",18,00:59:43,00:59:47,'-1,36
Running,2026-08-06 10:26:57,0,Hamburg Running,"7,40",643,00:51:29,145,157,"3,4",148,161,6:58,5:31,26,30,"0,98","9,1","8,9",324,6:52,328,"0,0",325,482,7.590,'-13,0,"00:02:48,9",15,00:51:13,00:53:54,0,9
Running,2026-07-30 06:33:37,0,Hamburg Running,"10,14",890,01:09:56,150,163,"3,8",149,172,6:54,5:55,35,35,"0,98","9,1","8,9",323,6:50,321,"0,0",319,443,10.320,'-20,0,"00:01:01,1",21,01:09:44,01:11:08,1,11
Running,2026-07-29 07:27:30,0,Hamburg Running,"5,45",473,00:37:25,144,156,"3,2",146,161,6:52,5:48,18,18,"1,00","9,0","9,0",327,6:47,323,"0,0",320,447,5.460,'-10,0,"00:03:12,1",11,00:37:12,00:38:55,1,7
Running,2026-07-27 11:58:27,0,Hamburg Running,"11,27",989,01:15:47,152,163,"4,2",151,166,6:44,5:35,48,53,"0,99","9,0","8,9",315,6:38,338,"0,0",336,509,11.294,'-18,0,"00:01:49,1",23,01:15:26,01:18:08,'-2,9
Running,2026-07-26 14:04:20,0,Hamburg Running,"10,14",867,01:08:29,145,162,"3,9",150,161,6:45,5:30,38,39,"0,99","9,0","8,9",318,6:40,332,"0,0",330,456,10.186,'-15,0,"00:00:59,5",21,01:08:10,01:11:23,1,11
Running,2026-07-23 12:33:15,0,Gremersdorf Running,"11,56",1.019,01:19:50,154,167,"4,2",150,160,6:54,5:56,99,100,"0,96","9,1","8,8",324,6:51,335,"0,0",330,456,11.910,'-18,0,"00:00:28,1",24,01:19:44,01:19:54,'-2,34
Running,2026-07-22 12:23:42,0,Gremersdorf Running,"11,51",1.026,01:19:22,158,172,"4,3",149,155,6:54,6:24,115,117,"0,98","9,1","8,9",328,6:50,342,"0,0",336,497,11.740,'-19,0,"00:00:07,5",24,01:19:13,01:19:32,'-0,35
Running,2026-07-20 16:46:30,0,Hamburg Running,"8,56",744,00:58:46,149,160,"3,9",148,162,6:52,5:02,31,36,"0,98","9,1","8,9",324,6:48,324,"0,0",321,435,8.674,'-12,0,"00:00:25,0",18,00:58:28,00:59:47,7,16
Running,2026-07-18 14:11:50,0,Gremersdorf Running,"10,63",924,01:13:46,150,165,"4,0",149,155,6:56,6:11,113,110,"0,96","9,1","8,8",327,6:54,347,"0,0",336,1.734,10.954,'-16,0,"00:00:52,2",22,01:13:42,01:13:46,'-1,33
Running,2026-07-16 06:44:00,0,Gremersdorf Running,"10,61",928,01:13:19,151,166,"4,0",151,157,6:55,5:58,93,95,"0,95","9,2","8,7",322,6:52,332,"0,0",327,465,11.008,'-23,0,"00:00:44,8",22,01:13:13,01:13:22,'-0,35
Running,2026-07-15 06:45:53,0,Gremersdorf Running,"10,61",938,01:14:11,154,171,"4,1",151,156,6:59,6:10,93,93,"0,95","9,2","8,7",324,6:57,325,"0,0",320,473,11.086,'-23,0,"00:00:46,4",22,01:14:06,01:14:14,2,33
Running,2026-07-07 13:34:42,0,Kungälv Running,"10,22",899,01:09:33,153,170,"4,1",150,161,6:48,6:21,58,66,"0,98","9,1","8,9",323,6:48,340,"0,0",337,3.736,10.380,'-17,0,"00:01:32,6",21,01:09:27,01:09:48,4,28
Running,2026-07-03 15:25:29,0,Kungälv Running,"9,01",790,01:02:46,151,167,"3,7",149,156,6:58,6:17,40,45,"0,96","9,1","8,8",326,6:58,323,"0,0",320,432,9.326,'-19,0,"00:00:04,5",19,01:02:41,01:02:48,6,20
Running,2026-07-01 14:08:46,0,Kungälv Running,"7,62",664,00:53:06,151,167,"3,5",148,155,6:58,6:03,20,22,"0,97","9,1","8,9",329,6:57,319,"0,0",317,386,7.834,'-13,0,"00:00:54,5",16,00:53:00,00:53:30,5,15
Running,2026-06-23 08:04:27,0,Hamburg Running,"8,25",715,00:56:21,144,158,"3,8",147,167,6:50,4:46,27,28,"1,00","9,0","9,0",322,6:43,328,"0,0",325,477,8.298,'-18,0,"00:01:59,8",17,00:56:05,01:03:22,2,12
Running,2026-06-22 12:54:01,0,Hamburg Running,"5,86",519,00:40:02,149,163,"3,5",147,167,6:50,5:54,10,13,"1,00","9,0","9,0",328,6:47,325,"0,0",323,446,5.860,'-10,0,"00:02:30,5",12,00:39:53,00:40:30,1,7
Running,2026-06-16 11:47:23,0,Hamburg Running,"10,92",953,01:14:03,149,165,"4,0",149,159,6:47,5:48,35,39,"0,99","9,0","8,9",322,6:44,328,"0,0",326,451,10.958,'-17,0,"00:02:56,4",22,01:13:47,01:15:13,'-7,5
Running,2026-06-12 10:42:36,0,Gremersdorf Running,"11,54",980,01:19:07,145,159,"3,8",151,156,6:52,6:05,91,90,"0,96","9,1","8,8",322,6:49,335,"0,0",330,461,11.842,'-18,0,"00:00:16,1",24,01:19:02,01:19:12,'-1,35
Running,2026-06-11 06:48:16,0,Gremersdorf Running,"11,52",1.005,01:18:16,150,166,"4,1",153,215,6:47,5:46,96,96,"0,96","9,1","8,7",316,6:44,341,"0,0",335,486,11.854,'-22,0,"00:00:12,9",24,01:18:07,01:18:36,0,34
Running,2026-06-09 13:38:03,0,Hamburg Running,"11,01",942,01:17:29,143,156,"3,7",147,162,7:02,4:54,43,52,"0,97","9,1","8,9",329,6:58,318,"0,0",316,461,11.366,'-16,0,"00:00:06,3",23,01:17:09,01:20:05,'-5,8
Running,2026-06-01 13:20:01,0,Hamburg Running,"11,40",998,01:18:45,150,162,"4,0",148,167,6:54,5:24,40,41,"0,98","9,1","8,9",325,6:50,323,"0,0",321,492,11.616,'-18,0,"00:02:55,0",23,01:18:27,01:21:41,1,12
Running,2026-05-27 15:22:03,0,Hamburg Running,"11,41",1.003,01:18:18,149,163,"4,0",149,167,6:52,5:56,42,45,"0,98","9,0","8,9",321,6:47,327,"0,0",325,478,11.588,'-16,0,"00:02:56,5",23,01:17:58,01:20:19,'-1,11
Running,2026-05-26 07:48:09,0,Hamburg Running,"10,22",898,01:09:46,151,163,"3,9",150,161,6:50,5:52,32,34,"0,98","9,0","8,8",319,6:46,326,"0,0",324,458,10.424,'-19,0,"00:01:31,5",21,01:09:35,01:11:07,3,13
Running,2026-05-24 13:28:38,0,Gremersdorf Running,"11,53",999,01:17:57,150,161,"4,0",152,160,6:46,6:01,94,92,"0,97","9,1","8,8",318,6:43,338,"0,0",334,466,11.742,'-16,0,"00:00:13,2",24,01:17:50,01:18:14,--,32
Running,2026-05-21 12:40:20,0,Gremersdorf Running,"11,55",1.015,01:21:14,152,164,"3,8",148,155,7:02,6:20,87,90,"0,96","9,2","8,8",329,6:59,327,"0,0",321,457,11.990,'-17,0,"00:00:20,1",24,01:21:01,01:21:54,'-2,32
Running,2026-05-20 11:34:16,0,Gremersdorf Running,"11,53",1.009,01:19:05,151,168,"3,9",149,161,6:52,6:01,96,96,"0,98","9,1","8,8",324,6:47,336,"0,0",329,471,11.714,'-18,0,"00:00:13,2",24,01:18:56,01:20:13,'-3,33
Running,2026-05-17 15:39:34,0,Gremersdorf Running,"10,61",934,01:13:24,153,167,"3,8",151,156,6:55,6:21,97,97,"0,96","9,2","8,8",323,6:52,332,"0,0",326,464,10.980,'-14,0,"00:00:47,1",22,01:13:19,01:13:24,0,34
Running,2026-05-15 15:28:39,0,Gremersdorf Running,"10,58",903,01:14:37,147,162,"3,6",151,156,7:03,6:37,99,99,"0,94","9,3","8,7",324,7:00,330,"0,0",323,462,11.150,'-14,0,"00:00:34,9",22,01:14:30,01:14:41,'-1,34
Running,2026-05-07 11:27:28,0,Hamburg Running,"10,11",873,01:10:10,145,156,"3,7",150,163,6:56,5:40,45,39,"0,96","9,1","8,7",319,6:52,327,"0,0",323,436,10.454,'-16,0,"00:00:48,1",21,01:09:54,01:15:16,1,12
Running,2026-05-06 11:37:52,0,Hamburg Running,"11,05",942,01:17:47,144,156,"3,7",149,160,7:02,6:00,34,39,"0,95","9,2","8,7",324,7:00,320,"0,0",317,469,11.562,'-17,0,"00:00:21,3",23,01:17:33,01:19:32,--,8
